identifier,pos x,pos y,pos z,status
5932,0.2415261,0.01649448,-0.6830537,success
5961,0.2567038,0.0160511,-0.7252797,success
5970,0.2421433,0.01328872,-0.7414867,success
6007,0.2360186,0.02149838,-0.6549627,success
6035,0.1639243,0.1727616,-0.6448614,success
4788,0.2295695,0.005265623,-0.5951889,success
5242,0.1830111,0.1454907,-0.6429314,success
5804,0.3053029,0.01268063,-0.6011381,success
5902,0.3267415,0.03635465,-0.6427683,success
5903,0.2854716,0.0132018,-0.7448032,success
5905,0.2997778,0.01864257,-0.6487023,success
5918,0.299878,0.01182494,-0.6534365,success
5919,0.2949231,0.01618235,-0.6469073,success
5931,0.2848634,0.01485667,-0.7086259,success
5944,0.2643694,0.01494148,-0.6750197,success
5945,0.2636,0.01380137,-0.6550047,success
5948,0.261241,0.01473781,-0.6596654,success
5950,0.2625347,0.01262821,-0.6777005,success
5973,0.2937703,0.0144567,-0.6844349,success
5982,0.3298566,0.02792156,-0.7112467,success
6039,0.2386137,0.01419537,-0.7478119,success
6078,0.2122748,0.0129896,-0.7183773,success
6085,0.224419,0.01428741,-0.7447137,success
6095,0.239412,0.02027889,-0.6993066,success
5947,0.2484777,0.01503889,-0.6045454,success
6024,0.2618999,0.01339827,-0.6951725,success
6028,0.2795113,0.01384322,-0.6555198,success
6038,0.2151681,0.01060654,-0.6287796,success
6045,0.2780381,0.01523818,-0.6905078,success
6055,0.3012522,0.01533347,-0.7617195,success
6060,0.2855438,0.01522763,-0.655625,success
6063,0.282905,0.01385036,-0.6666743,success
6064,0.304702,0.01438726,-0.7124996,success
6069,0.3290442,0.03104617,-0.7574511,success
6070,0.2440967,0.007781118,-0.6910959,success
6093,0.2316555,0.01217429,-0.6346101,success
6097,0.2367718,0.0161642,-0.6239473,success
6139,0.2684178,-0.01393473,-0.7096596,success
6187,0.2142585,0.01519603,-0.7338806,success
6195,0.2306522,0.01425302,-0.7239751,success
6234,0.2504208,0.02845721,-0.7034306,success
6248,0.211804,0.0134684,-0.7204698,success
6274,0.1700972,0.171245,-0.66132,success
5281,0.2437079,0.01582302,-0.6850713,success
6018,0.2284344,0.01516077,-0.5929927,success
6029,0.2513112,0.007667914,-0.5872443,success
6032,0.302344,0.01627789,-0.6299298,success
6042,0.2634258,0.01583211,-0.6197685,success
6107,0.286272,0.01529576,-0.6208523,success
6124,0.2633255,0.008086175,-0.6199207,success
6154,0.24716,0.01468222,-0.6238562,success
6167,0.3003159,0.017652,-0.6856307,success
6172,0.2375171,0.01287925,-0.6947519,success
6175,0.2969386,0.01367818,-0.6644718,success
6188,0.2128071,0.01692842,-0.629766,success
6194,0.2815636,0.01304439,-0.682003,success
6209,0.2305075,0.01384494,-0.687389,success
6225,0.242502,0.01374929,-0.7231336,success
6260,0.271455,-0.01877353,-0.7536094,success
6271,0.2088715,0.02628373,-0.7119474,success
6297,0.2343837,0.01854156,-0.7106286,success
6308,0.2251742,0.01416828,-0.7226362,success
6394,0.219783,0.01004629,-0.73353,success
6470,0.1556006,0.1839802,-0.6338673,success
6494,0.1664074,0.1672491,-0.6632968,success
5321,0.2436218,0.009817064,-0.6724005,success
6099,0.2329541,0.01958369,-0.5684464,success
6169,0.3016623,0.01788463,-0.6111428,success
6282,0.2823529,0.01805592,-0.6674863,success
6296,0.2988244,0.01338662,-0.690653,success
6311,0.2258615,0.01622336,-0.6341565,success
6317,0.2774649,0.01727545,-0.6722637,success
6329,0.2432642,0.01333176,-0.7053185,success
6330,0.2612335,0.01718436,-0.7240672,success
6334,0.2601681,0.01360452,-0.7145366,success
6340,0.2458412,0.01638825,-0.6412117,success
6341,0.2464488,0.01490664,-0.6588539,success
6344,0.2491598,0.01088944,-0.7331746,success
6364,0.3358068,0.02744691,-0.7088671,success
6422,0.2111957,0.01743627,-0.7376337,success
5476,0.2444398,0.0114492,-0.6282972,success
5594,0.2543268,0.01421759,-0.7203803,success
5615,0.1986567,0.1202949,-0.6557537,success
6397,0.2133573,0.01925972,-0.6136387,success
6401,0.2289894,0.01493327,-0.6847043,success
6410,0.2800915,0.01572804,-0.6986094,success
6420,0.3012416,0.01606183,-0.7697239,success
6423,0.2074126,0.03533292,-0.5950072,success
6428,0.2303218,0.01709196,-0.6300903,success
6448,0.2614335,0.01298051,-0.6791273,success
6450,0.3342599,0.02401553,-0.7543758,success
6454,0.2649408,0.01450302,-0.7275389,success
6456,0.2635505,0.01703531,-0.7089962,success
6466,0.2541243,0.02367584,-0.687593,success
6468,0.2857268,0.0159715,-0.6903782,success
6498,0.2827123,0.01791669,-0.719634,success
6507,0.2583274,0.004832879,-0.7599748,success
6553,0.2521888,0.01638038,-0.7367383,success
6565,0.2442128,0.01639053,-0.7629656,success
6586,0.2574395,0.01871578,-0.7253495,success
5828,0.1530604,0.1960208,-0.6358237,success
6289,0.3034238,0.01664034,-0.5824658,success
6293,0.297313,0.01784706,-0.5969566,success
6387,0.256239,0.001639292,-0.5674242,success
6407,0.2630928,0.01563132,-0.5889589,success
6434,0.2136261,0.02023309,-0.5795336,success
6467,0.2146146,0.01329234,-0.5921729,success
6473,0.2741826,0.01312567,-0.6106641,success
6528,0.27086,0.01540905,-0.734113,success
6542,0.2999181,0.0113169,-0.6463588,success
6551,0.2449431,0.01669547,-0.6148697,success
6557,0.2848043,0.01618966,-0.7254507,success
6559,0.28104,0.01709203,-0.7181427,success
6560,0.2796796,0.01589274,-0.7336782,success
6564,0.277792,0.01403619,-0.7102847,success
6584,0.2617222,0.01359281,-0.6614605,success
6587,0.2532052,0.01557587,-0.7032016,success
6620,0.2125564,0.03522855,-0.590166,success
6621,0.2195356,0.01546475,-0.600772,success
6664,0.2126387,0.01548748,-0.7548907,success
6676,0.2392998,0.01659629,-0.7634839,success
6679,0.244682,0.01188634,-0.687815,success
6717,0.2095943,0.02249497,-0.7522817,success
6741,0.2158439,0.02407317,-0.7285268,success
6749,0.1649078,0.1675564,-0.6619667,success
6766,0.1532631,0.2044176,-0.6440091,success
5667,0.2450004,0.01494123,-0.6851173,success
5780,0.1654353,0.18914,-0.6365224,success
5860,0.267202,0.0149488,-0.7293724,success
5884,0.1886487,0.09631354,-0.6270607,success
6538,0.2277717,0.01900686,-0.5762925,success
6576,0.2775684,0.01662523,-0.6000276,success
6643,0.2662611,0.01186432,-0.6541102,success
6654,0.2773454,0.01152153,-0.6944779,success
6656,0.3003854,0.01766853,-0.7784241,success
6657,0.3067311,0.01403931,-0.6739599,success
6658,0.3035192,0.01469578,-0.7136793,success
6661,0.332978,0.0260969,-0.7464422,success
6665,0.2959617,0.01603745,-0.6812264,success
6674,0.2152211,0.01442584,-0.6355105,success
6677,0.2365215,0.01866855,-0.6236348,success
6682,0.2188101,0.01873899,-0.6280478,success
6692,0.3062239,0.01340239,-0.7500971,success
6711,0.2810946,0.01341474,-0.7698041,success
6797,0.2817034,0.01280786,-0.7525177,success
6805,0.2644839,0.01424068,-0.6897179,success
6812,0.2609349,0.01320587,-0.7322104,success
6819,0.2476229,0.01348425,-0.6763203,success
6821,0.2456075,0.0164327,-0.7107187,success
6826,0.2423981,0.01668835,-0.6995686,success
6833,0.2298462,0.01355955,-0.7024406,success
6836,0.2119755,0.01062346,-0.7203486,success
6944,0.1693757,0.1675371,-0.6692916,success
5857,0.2169556,0.01098906,-0.7490718,success
6563,0.2674834,0.01867816,-0.5658458,success
6728,0.2868047,0.01642299,-0.6027331,success
6752,0.3333906,0.03200097,-0.6422065,success
6770,0.2319828,0.01131193,-0.6494924,success
6795,0.3329859,0.0268354,-0.7109036,success
6830,0.2318671,0.01472168,-0.6340608,success
6831,0.2309468,0.01480012,-0.5969296,success
6856,0.2465736,0.0154269,-0.6936037,success
6871,0.2135677,0.01414618,-0.717201,success
6872,0.2100381,0.02443863,-0.6326712,success
6873,0.2192007,0.005325377,-0.7512705,success
6892,0.2441831,0.01437305,-0.669668,success
6899,0.3019401,0.01586209,-0.788456,success
6904,0.3290375,0.0402831,-0.7838957,success
6913,0.2256774,0.01608576,-0.7170668,success
6915,0.2587313,0.01322471,-0.7338458,success
6918,0.2391293,0.02477327,-0.6475962,success
6921,0.2739713,0.01585498,-0.729092,success
6930,0.2334905,0.01516905,-0.7060555,success
6941,0.2312408,0.0159352,-0.6515608,success
6949,0.2347445,0.009472728,-0.725058,success
6963,0.2370303,0.01259193,-0.7463931,success
6077,0.2120908,0.0186442,-0.7426927,success
6659,0.3012444,0.02033016,-0.5743152,success
6759,0.2587762,0.01839009,-0.6032102,success
6806,0.2158031,0.01453021,-0.5723566,success
6875,0.2147509,0.0167736,-0.5903741,success
6876,0.2181748,0.01365407,-0.5983696,success
6884,0.295903,0.01705196,-0.6634943,success
6935,0.3006555,0.01155593,-0.7669498,success
6945,0.2564742,0.01474726,-0.6148937,success
6950,0.335254,0.02917831,-0.7293614,success
7005,0.221799,0.01988372,-0.7232832,success
7006,0.2091666,0.02615249,-0.7397223,success
7013,0.2809573,0.0157187,-0.7159882,success
7015,0.2289537,0.01439349,-0.7723559,success
7016,0.2295648,0.01359193,-0.7552073,success
7033,0.2448433,0.01471661,-0.7553945,success
