timestamp,pos_x,pos_y,pos_z,rot_e_x,rot_e_y,rot_e_z
2022-10-20-20-15-42,-10.3328,0.3254592,-1.922189,14.54767,192.0772,359.3971
2022-10-20-20-15-43,-10.42107,0.3452185,-2.343998,14.23943,183.8855,359.7303
2022-10-20-20-15-44,-10.50963,0.3611142,-2.811393,16.71907,181.3831,359.3686
2022-10-20-20-15-45,-10.51708,0.3674977,-3.275588,15.65645,179.7222,358.8
2022-10-20-20-15-45,-10.50375,0.3809458,-3.673796,16.63422,176.8574,359.8186
2022-10-20-20-15-46,-10.41053,0.3912236,-3.908214,16.47454,142.8785,3.802954
2022-10-20-20-15-47,-10.28545,0.3908526,-3.981474,15.62457,107.2459,4.60525
2022-10-20-20-15-48,-10.11287,0.4004663,-4.015721,15.15791,93.22691,3.743572
2022-10-20-20-15-49,-9.740193,0.4095499,-4.07824,16.74303,89.43966,2.23264
2022-10-20-20-15-49,-9.28617,0.4131687,-4.082034,17.56471,86.97439,2.791772
2022-10-20-20-15-50,-8.862988,0.4141254,-4.012527,16.83121,85.36006,2.582901
2022-10-20-20-15-51,-8.417954,0.4374397,-3.978716,15.7656,88.71075,1.952244
2022-10-20-20-15-52,-7.981403,0.4276825,-3.944267,15.85253,92.45062,2.212886
2022-10-20-20-15-53,-7.600368,0.3892291,-3.938213,23.23346,90.84842,3.243232
2022-10-20-20-15-53,-7.293088,0.2693177,-3.94915,48.72491,90.77334,3.187407
2022-10-20-20-15-54,-7.231895,0.06740385,-3.951601,69.68736,95.36216,7.139342
2022-10-20-20-15-55,-7.117673,-0.1360919,-3.949559,79.95876,104.754,15.42388
2022-10-20-20-15-56,-7.095146,-0.1986995,-3.966706,83.65273,104.4926,15.17135
2022-10-20-20-15-57,-7.102382,-0.2082006,-3.974426,83.78732,108.7624,18.96885
2022-10-20-20-15-57,-7.09033,-0.2564774,-3.980789,83.58834,105.0948,14.86021
2022-10-20-20-15-58,-7.073225,-0.3231941,-3.994771,83.72265,108.0034,17.96928
2022-10-20-20-15-59,-7.072067,-0.328538,-3.996296,83.8521,112.774,22.23476
2022-10-20-20-16-0,-7.072107,-0.3309056,-3.990724,84.3864,110.3374,19.62965
2022-10-20-20-16-1,-7.087095,-0.2406383,-3.980691,81.96407,110.3116,21.68946
2022-10-20-20-16-1,-7.133605,-0.01993191,-3.976271,72.61617,97.40887,9.40042
2022-10-20-20-16-2,-7.167073,0.3083872,-3.970403,35.30254,91.42148,4.918688
2022-10-20-20-16-3,-7.148654,0.467559,-3.958822,15.5463,90.03226,2.380885
2022-10-20-20-16-4,-6.891442,0.5194575,-4.010357,14.70865,92.77724,2.118022
2022-10-20-20-16-5,-6.465837,0.5759047,-4.02176,15.41221,92.79976,3.208546
2022-10-20-20-16-5,-6.024311,0.5892765,-4.026819,16.45484,85.60945,3.506937
2022-10-20-20-16-6,-5.587238,0.5526743,-3.994974,18.35719,76.55383,6.906946
2022-10-20-20-16-7,-5.272911,0.5226707,-3.731838,18.52529,45.11224,4.704776
2022-10-20-20-16-8,-5.153893,0.5111598,-3.409703,18.74598,13.00198,5.100037
2022-10-20-20-16-9,-5.126485,0.5188658,-2.96329,18.76116,4.270619,4.386775
2022-10-20-20-16-10,-5.161181,0.5055338,-2.466377,18.89054,0.9055597,3.900052
2022-10-20-20-16-10,-5.188097,0.4823365,-1.973649,19.53747,351.9971,4.601061
2022-10-20-20-16-11,-5.396922,0.4694424,-1.567253,18.90771,335.3539,3.267581
2022-10-20-20-16-12,-5.670593,0.4621788,-1.145925,17.74117,352.5237,0.2652081
2022-10-20-20-16-13,-5.637012,0.456124,-0.6342947,16.62436,31.31956,1.899134
2022-10-20-20-16-14,-5.333536,0.4583824,-0.3504078,14.19542,69.29823,1.701983
2022-10-20-20-16-14,-4.900558,0.4650037,-0.2048355,15.6306,88.96997,0.7760001
2022-10-20-20-16-15,-4.421976,0.4776552,-0.1445082,12.20391,93.75861,3.912145
2022-10-20-20-16-16,-3.897559,0.4816647,-0.1137285,12.08217,96.31901,2.252741
2022-10-20-20-16-17,-3.386097,0.496076,-0.09482628,11.03678,98.54125,3.472657
2022-10-20-20-16-18,-2.867748,0.4380271,-0.09037715,22.30363,97.90208,6.063226
2022-10-20-20-16-18,-2.341613,0.4684383,-0.1118176,15.04816,100.0579,3.544151
2022-10-20-20-16-19,-2.009844,0.5059373,-0.1417366,12.76609,98.90569,3.374104
2022-10-20-20-16-20,-1.714569,0.5182409,-0.2422213,12.69655,102.6949,3.449579
2022-10-20-20-16-21,-1.550153,0.5286812,-0.2980882,10.83505,124.9184,1.839804
2022-10-20-20-16-22,-1.614993,0.5533803,-0.206076,8.848595,100.8386,2.793479
2022-10-20-20-16-22,-1.618981,0.555079,-0.2007781,8.466228,94.59476,2.288553
